id,food_cd,group_name,food_name,research_year,maker_name,ref_name,serving_size,calorie,carbohydrate,protein,province,sugars,salt,cholesterol,saturated_fatty_acids,trans_fat
1761,D011526,음료 및 차류,블랙 티 잉글리쉬 블랙퍼스트 tall (hot),2019,탐앤탐스,식약처('19),369,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1762,D011527,음료 및 차류,블랙 티 잉글리쉬 블랙퍼스트 tall (iced),2019,탐앤탐스,식약처('19),397,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1763,D011528,음료 및 차류,블랙 티 잉글리쉬 블랙퍼스트 grande (hot),2019,탐앤탐스,식약처('19),510,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1764,D011529,음료 및 차류,블랙 티 잉글리쉬 블랙퍼스트 grande (iced),2019,탐앤탐스,식약처('19),454,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1765,D011530,음료 및 차류,허브 티 캐모마일 tall (hot),2019,탐앤탐스,식약처('19),369,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
1766,D011531,음료 및 차류,허브 티 캐모마일 tall (iced),2019,탐앤탐스,식약처('19),397,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
1767,D011532,음료 및 차류,허브 티 캐모마일 grande (hot),2019,탐앤탐스,식약처('19),510,0.02,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0
1768,D011533,음료 및 차류,허브 티 캐모마일 grande (iced),2019,탐앤탐스,식약처('19),454,0.02,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0
1769,D011534,음료 및 차류,허브 티 페퍼민트 tall (hot),2019,탐앤탐스,식약처('19),369,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
1770,D011535,음료 및 차류,허브 티 페퍼민트 tall (iced),2019,탐앤탐스,식약처('19),397,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
1771,D011536,음료 및 차류,허브 티 페퍼민트 grande (hot),2019,탐앤탐스,식약처('19),510,0.02,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0
1772,D011537,음료 및 차류,허브 티 페퍼민트 grande (iced),2019,탐앤탐스,식약처('19),454,0.02,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0
1773,D011538,음료 및 차류,허브 티 로즈마리 tall (hot),2019,탐앤탐스,식약처('19),369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1774,D011539,음료 및 차류,허브 티 로즈마리 tall (iced),2019,탐앤탐스,식약처('19),397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775,D011540,음료 및 차류,허브 티 로즈마리 grande (hot),2019,탐앤탐스,식약처('19),510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1776,D011541,음료 및 차류,허브 티 로즈마리 grande (iced),2019,탐앤탐스,식약처('19),454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1777,D011542,음료 및 차류,허브 티 쟈스민 플라워 tall (hot),2019,탐앤탐스,식약처('19),369,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
1778,D011543,음료 및 차류,허브 티 쟈스민 플라워 tall (iced),2019,탐앤탐스,식약처('19),397,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
1779,D011544,음료 및 차류,허브 티 쟈스민 플라워 grande (hot),2019,탐앤탐스,식약처('19),510,0.01,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0
1780,D011545,음료 및 차류,허브 티 쟈스민 플라워 grande (iced),2019,탐앤탐스,식약처('19),454,0.01,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0
1781,D011546,음료 및 차류,허브 티 베이비 그린티 tall (hot),2019,탐앤탐스,식약처('19),369,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
1782,D011547,음료 및 차류,허브 티 베이비 그린티 tall (iced),2019,탐앤탐스,식약처('19),397,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
1783,D011548,음료 및 차류,허브 티 베이비 그린티 grande (hot),2019,탐앤탐스,식약처('19),510,0.01,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0
1784,D011549,음료 및 차류,허브 티 베이비 그린티 grande (iced),2019,탐앤탐스,식약처('19),454,0.01,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0
1785,D011550,음료 및 차류,허브 티 베이비 그린티 venti (hot),2019,탐앤탐스,식약처('19),680,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1786,D011551,음료 및 차류,허브 티 베이비 그린티 venti (iced),2019,탐앤탐스,식약처('19),680,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1787,D011552,음료 및 차류,유자차 tall,2019,탐앤탐스,식약처('19),369,225.0,58.5,0.0,0.0,49.5,45.0,0.0,0.0,0.0
1788,D011553,음료 및 차류,유자차 grande,2019,탐앤탐스,식약처('19),510,300.0,78.0,0.0,0.0,66.0,60.0,0.0,0.0,0.0
1789,D011554,음료 및 차류,유자차 venti,2019,탐앤탐스,식약처('19),680,375.0,97.5,0.0,0.0,82.5,75.0,0.0,0.0,0.0
1790,D011555,음료 및 차류,후레쉬 티 자몽 tall,2019,탐앤탐스,식약처('19),369,107.5,27.0,0.5,0.0,24.0,2.5,0.0,0.0,0.0
1791,D011556,음료 및 차류,후레쉬 티 자몽 grande,2019,탐앤탐스,식약처('19),510,129.0,32.4,0.6,0.0,28.8,3.0,0.0,0.0,0.0
1792,D011557,음료 및 차류,후레쉬 티 자몽 venti,2019,탐앤탐스,식약처('19),680,150.5,37.8,0.7,0.0,33.6,3.5,0.0,0.0,0.0
1793,D011558,음료 및 차류,후레쉬 티 레몬 tall (hot),2019,탐앤탐스,식약처('19),369,105.0,26.5,0.5,0.0,24.0,2.5,0.0,0.0,0.0
1794,D011559,음료 및 차류,후레쉬 티 레몬 tall (iced),2019,탐앤탐스,식약처('19),397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1795,D011560,음료 및 차류,후레쉬 티 레몬 grande (hot),2019,탐앤탐스,식약처('19),510,126.0,31.8,0.6,0.0,28.8,0.0,0.0,0.0,0.0
1796,D011561,음료 및 차류,후레쉬 티 레몬 grande (iced),2019,탐앤탐스,식약처('19),454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1797,D011562,음료 및 차류,아카시아 꿀차 tall,2019,탐앤탐스,식약처('19),369,289.86,51.31,3.63,7.08,21.81,6.0,0.0,1.5,0.0
1798,D011563,음료 및 차류,아카시아 꿀차 grande,2019,탐앤탐스,식약처('19),510,367.22,67.12,4.65,8.17,26.81,8.0,0.0,2.0,0.0
1799,D011564,음료 및 차류,아카시아 꿀차 venti,2019,탐앤탐스,식약처('19),680,449.58,82.93,5.67,9.26,31.81,10.0,0.0,2.5,0.0
1800,D011565,음료 및 차류,바닐라 탐앤치노 tall,2019,탐앤탐스,식약처('19),397,289.01,51.03,3.7,6.89,21.63,149.49,0.0,4.35,0.0
1801,D011566,음료 및 차류,바닐라 탐앤치노 grande,2019,탐앤탐스,식약처('19),454,366.37,66.84,4.72,7.98,26.63,184.29,0.0,4.85,0.0
1802,D011567,음료 및 차류,바닐라 탐앤치노 venti,2019,탐앤탐스,식약처('19),680,448.73,82.65,5.74,9.07,31.63,224.09,0.0,5.35,0.0
1803,D011568,음료 및 차류,에스프레소 탐앤치노 tall,2019,탐앤탐스,식약처('19),397,236.14,37.15,3.16,7.62,22.66,120.09,0.0,4.36,0.0
1804,D011569,음료 및 차류,에스프레소 탐앤치노 grande,2019,탐앤탐스,식약처('19),454,295.94,48.52,4.01,8.85,30.55,148.68,0.0,4.87,0.0
1805,D011570,음료 및 차류,에스프레소 탐앤치노 venti,2019,탐앤탐스,식약처('19),680,360.74,59.89,4.86,10.08,38.44,182.28,0.0,5.38,0.0
1806,D011571,음료 및 차류,모카 탐앤치노 tall,2019,탐앤탐스,식약처('19),397,303.19,53.87,4.54,7.54,31.79,111.99,0.0,4.58,0.0
1807,D011572,음료 및 차류,모카 탐앤치노 grande,2019,탐앤탐스,식약처('19),454,387.44,70.66,5.96,8.84,42.36,140.14,0.0,5.19,0.0
1808,D011573,음료 및 차류,모카 탐앤치노 venti,2019,탐앤탐스,식약처('19),680,476.69,87.45,7.38,10.13,52.92,173.29,0.0,5.8,0.0
1809,D011574,음료 및 차류,캬라멜 탐앤치노 tall,2019,탐앤탐스,식약처('19),397,324.54,56.91,3.94,8.27,33.58,221.49,0.0,4.83,0.0
1810,D011575,음료 및 차류,캬라멜 탐앤치노 grande,2019,탐앤탐스,식약처('19),454,426.84,77.78,5.17,9.81,46.72,298.83,0.0,5.56,0.0
1811,D011576,음료 및 차류,캬라멜 탐앤치노 venti,2019,탐앤탐스,식약처('19),680,512.74,93.32,6.38,11.34,55.07,380.58,0.0,6.29,0.0
1812,D011577,음료 및 차류,시나몬 모카 탐앤치노 tall,2019,탐앤탐스,식약처('19),397,261.69,46.54,3.45,6.2,39.16,86.94,0.0,4.35,0.0
1813,D011578,음료 및 차류,시나몬 모카 탐앤치노 grande,2019,탐앤탐스,식약처('19),454,315.19,56.84,4.35,7.1,47.96,107.44,0.0,4.85,0.0
1814,D011579,음료 및 차류,시나몬 모카 탐앤치노 venti,2019,탐앤탐스,식약처('19),680,373.69,67.14,5.25,8.0,56.76,132.94,0.0,5.35,0.0
1815,D011580,음료 및 차류,그린민트 모카 탐앤치노 tall,2019,탐앤탐스,식약처('19),397,333.0,205.32,4.03,8.9,25.63,165.49,0.0,4.35,0.0
1816,D011581,음료 및 차류,그린민트 모카 탐앤치노 grande,2019,탐앤탐스,식약처('19),454,411.96,291.14,5.05,10.31,30.63,198.69,0.0,4.85,0.0
1817,D011582,음료 및 차류,그린민트 모카 탐앤치노 venti,2019,탐앤탐스,식약처('19),680,495.92,376.96,6.07,11.72,35.63,236.89,0.0,5.35,0.0
1818,D011583,음료 및 차류,그린 티 탐앤치노 tall,2019,탐앤탐스,식약처('19),397,338.0,59.94,4.96,8.61,6.63,68.39,0.0,5.85,0.0
1819,D011584,음료 및 차류,그린 티 탐앤치노 grande,2019,탐앤탐스,식약처('19),454,405.22,71.6,6.36,10.3,8.63,89.39,0.0,6.85,0.0
1820,D011585,음료 및 차류,그린 티 탐앤치노 venti,2019,탐앤탐스,식약처('19),680,472.44,83.26,7.76,11.99,10.63,110.39,0.0,7.85,0.0
1821,D011586,음료 및 차류,시나몬 초콜릿 탐앤치노 tall,2019,탐앤탐스,식약처('19),397,339.89,58.66,5.55,8.67,50.02,120.94,0.0,5.86,0.0
1822,D011587,음료 및 차류,시나몬 초콜릿  탐앤치노 grande,2019,탐앤탐스,식약처('19),454,406.89,69.96,7.05,10.37,59.82,151.44,0.0,6.86,0.0
1823,D011588,음료 및 차류,시나몬 초콜릿 탐앤치노 venti,2019,탐앤탐스,식약처('19),680,473.89,81.26,8.55,12.07,69.62,181.94,0.0,7.86,0.0
1824,D011589,음료 및 차류,그린민트 초콜릿 탐앤치노 tall,2019,탐앤탐스,식약처('19),397,418.5,213.99,6.16,14.3,33.96,192.16,0.0,8.52,0.0
1825,D011590,음료 및 차류,그린민트 초콜릿 탐앤치노 grande,2019,탐앤탐스,식약처('19),454,520.96,301.95,7.85,17.11,41.03,235.69,0.0,10.05,0.0
1826,D011591,음료 및 차류,그린민트 초콜릿 탐앤치노 venti,2019,탐앤탐스,식약처('19),680,613.42,388.77,9.47,19.32,47.03,278.89,0.0,11.05,0.0
1827,D011592,음료 및 차류,자바 칩 탐앤치노 tall,2019,탐앤탐스,식약처('19),397,423.39,69.4,6.99,13.23,43.62,151.56,0.0,8.76,0.0
1828,D011593,음료 및 차류,자바 칩 탐앤치노 grande,2019,탐앤탐스,식약처('19),454,531.14,88.32,9.08,15.93,56.25,190.04,0.0,10.4,0.0
1829,D011594,음료 및 차류,자바 칩 탐앤치노 venti,2019,탐앤탐스,식약처('19),680,628.89,106.11,11.1,18.02,67.82,228.19,0.0,11.52,0.0
1830,D011595,음료 및 차류,월넛치노 tall,2019,탐앤탐스,식약처('19),397,621.7,98.33,11.35,21.0,76.33,108.68,0.0,3.67,0.0
1831,D011596,음료 및 차류,월넛치노 grande,2019,탐앤탐스,식약처('19),454,714.57,113.13,13.36,23.87,88.33,135.17,0.0,4.67,0.0
1832,D011597,음료 및 차류,월넛치노 venti,2019,탐앤탐스,식약처('19),680,807.44,127.93,15.37,26374.0,100.33,161.66,0.0,5.67,0.0
1833,D011598,음료 및 차류,플레인 요거트 스무디 tall,2019,탐앤탐스,식약처('19),397,297.3,54.58,7.87,5.36,34.7,110.89,0.0,3.0,0.0
1834,D011599,음료 및 차류,플레인 요거트 스무디 grande,2019,탐앤탐스,식약처('19),454,386.1,70.46,10.29,7.12,44.9,145.43,0.0,4.0,0.0
1835,D011600,음료 및 차류,플레인 요거트 스무디 venti,2019,탐앤탐스,식약처('19),680,461.4,85.34,12.11,8.08,54.1,169.97,0.0,4.5,0.0
1836,D011601,음료 및 차류,프리미엄 요거트 스무디 tall,2019,탐앤탐스,식약처('19),397,379.0,85.0,2.4,3.2,63.0,8.0,0.0,2.0,0.0
1837,D011602,음료 및 차류,프리미엄 요거트 스무디 grande,2019,탐앤탐스,식약처('19),454,450.75,101.7,2.7,3.6,75.3,9.0,0.0,2.25,0.0
1838,D011603,음료 및 차류,프리미엄 요거트 스무디 venti,2019,탐앤탐스,식약처('19),680,555.0,126.5,3.0,4.0,93.5,10.0,0.0,2.5,0.0
1839,D011604,음료 및 차류,프리미엄 스무디 블루베리 tall,2019,탐앤탐스,식약처('19),397,379.0,85.0,2.4,3.2,63.0,190.0,0.0,2.0,0.0
1840,D011605,음료 및 차류,프리미엄 스무디 블루베리 grande,2019,탐앤탐스,식약처('19),454,450.75,101.7,2.7,3.6,75.3,225.0,0.0,2.25,0.0
1841,D011606,음료 및 차류,프리미엄 스무디 블루베리 venti,2019,탐앤탐스,식약처('19),680,555.0,126.5,3.0,4.0,93.5,275.0,0.0,2.5,0.0
1842,D011607,음료 및 차류,프리미엄 스무디 유자 tall,2019,탐앤탐스,식약처('19),397,301.55,71.66,1.52,2.02,61.58,71.2,0.0,1.26,0.0
1843,D011608,음료 및 차류,프리미엄 스무디 유자 grande,2019,탐앤탐스,식약처('19),454,439.83,104.24,2.28,3.03,89.62,104.29,0.0,1.9,0.0
1844,D011609,음료 및 차류,프리미엄 스무디 유자 venti,2019,탐앤탐스,식약처('19),680,571.35,136.32,2.74,3.64,117.16,132.39,0.0,2.28,0.0
1845,D011610,음료 및 차류,과일 요거트 스무디 tall,2019,탐앤탐스,식약처('19),397,359.0,79.0,2.4,3.7,71.0,8.0,0.0,2.0,0.0
1846,D011611,음료 및 차류,과일 요거트 스무디 grande,2019,탐앤탐스,식약처('19),454,426.75,94.5,2.7,4.2,84.9,9.0,0.0,2.25,0.0
1847,D011612,음료 및 차류,과일 요거트 스무디 venti,2019,탐앤탐스,식약처('19),680,525.0,117.5,3.0,4.75,105.5,10.0,0.0,2.5,0.0
1848,D011613,음료 및 차류,과일 스무디 딸기 tall,2019,탐앤탐스,식약처('19),397,359.0,79.0,2.4,3.7,71.0,50.0,0.0,2.0,0.0
1849,D011614,음료 및 차류,과일 스무디 딸기 grande,2019,탐앤탐스,식약처('19),454,426.75,94.5,2.7,4.2,84.9,57.0,0.0,2.25,0.0
1850,D011615,음료 및 차류,과일 스무디 딸기 venti,2019,탐앤탐스,식약처('19),680,525.0,117.5,3.0,4.75,105.5,65.0,0.0,2.5,0.0
1851,D011616,음료 및 차류,과일 스무디 망고 tall,2019,탐앤탐스,식약처('19),397,354.0,77.0,2.4,3.7,69.0,50.0,0.0,2.0,0.0
1852,D011617,음료 및 차류,과일 스무디 망고 grande,2019,탐앤탐스,식약처('19),454,420.75,92.1,2.7,4.2,82.5,57.0,0.0,2.25,0.0
1853,D011618,음료 및 차류,과일 스무디 망고 venti,2019,탐앤탐스,식약처('19),680,517.5,114.5,3.0,4.75,102.5,65.0,0.0,2.5,0.0
1854,D011619,음료 및 차류,홍시 스무디 tall,2019,탐앤탐스,식약처('19),397,357.2,46.64,3.69,3.47,77.12,46.78,0.0,2.06,0.0
1855,D011620,음료 및 차류,후레쉬 에이드 자몽 tall,2019,탐앤탐스,식약처('19),397,149.65,37.5,0.35,0.0,35.4,0.0,0.0,0.0,0.0
1856,D011621,음료 및 차류,후레쉬 에이드 자몽 grande,2019,탐앤탐스,식약처('19),454,204.75,51.3,0.45,0.0,48.6,0.0,0.0,0.0,0.0
1857,D011622,음료 및 차류,후레쉬 에이드 망고 venti,2019,탐앤탐스,식약처('19),680,250.25,62.7,0.55,0.0,59.4,0.0,0.0,0.0,0.0
1858,D011623,음료 및 차류,후레쉬 쥬스 오렌지 tall,2019,탐앤탐스,식약처('19),397,105.0,26.0,0.5,0.0,23.5,2.5,0.0,0.0,0.0
1859,D011624,음료 및 차류,후레쉬 쥬스 오렌지 grande,2019,탐앤탐스,식약처('19),454,126.0,31.2,0.6,0.0,28.2,3.0,0.0,0.0,0.0
1860,D011625,음료 및 차류,후레쉬 쥬스 오렌지 venti,2019,탐앤탐스,식약처('19),680,147.0,36.4,0.7,0.0,32.9,3.5,0.0,0.0,0.0
1861,D011626,음료 및 차류,후레쉬 에이드 레몬  tall,2019,탐앤탐스,식약처('19),397,147.9,37.15,0.35,0.0,35.4,16.63,0.0,0.0,0.0
1862,D011627,음료 및 차류,후레쉬 에이드 레몬  grande,2019,탐앤탐스,식약처('19),454,202.5,50.85,0.45,0.0,48.6,23.85,0.0,0.0,0.0
1863,D011628,음료 및 차류,후레쉬 에이드 레몬  venti,2019,탐앤탐스,식약처('19),680,247.5,62.15,0.55,0.0,59.4,29.15,0.0,0.0,0.0
1864,D011629,음료 및 차류,후레쉬 쥬스 자몽 tall,2019,탐앤탐스,식약처('19),397,107.5,27.0,0.5,0.0,24.0,2.5,0.0,0.0,0.0
1865,D011630,음료 및 차류,후레쉬 쥬스 자몽 grande,2019,탐앤탐스,식약처('19),454,129.0,32.4,0.6,0.0,28.8,3.0,0.0,0.0,0.0
1866,D011631,음료 및 차류,후레쉬 쥬스 자몽 venti,2019,탐앤탐스,식약처('19),680,150.5,37.8,0.7,0.0,33.6,3.5,0.0,0.0,0.0
1867,D011632,음료 및 차류,후레쉬 주스 오렌지 tall,2019,탐앤탐스,식약처('19),397,105.0,26.0,0.5,0.0,23.5,2.5,0.0,0.0,0.0
1868,D011633,음료 및 차류,후레쉬 주스 오렌지 grande,2019,탐앤탐스,식약처('19),454,126.0,31.2,0.6,0.0,28.2,3.0,0.0,0.0,0.0
1869,D011635,음료 및 차류,블루레몬 에이드 grande,2019,탐앤탐스,식약처('19),454,292.6,73.15,0.62,0.15,71.47,31.08,0.0,0.0,0.0
1870,D011636,음료 및 차류,아이스 티 복숭아 tall,2019,탐앤탐스,식약처('19),397,179.34,44.1,0.42,0.0,41.79,14.7,0.0,0.0,0.0
1871,D011637,음료 및 차류,아이스 티 복숭아 grande,2019,탐앤탐스,식약처('19),454,256.2,63.0,0.6,0.0,59.7,21.0,0.0,0.0,0.0
1872,D011638,음료 및 차류,아이스 티 복숭아 venti,2019,탐앤탐스,식약처('19),680,315.98,77.7,0.74,0.0,73.63,25.9,0.0,0.0,0.0
1873,D011639,음료 및 차류,아이스 티 레몬 tall,2019,탐앤탐스,식약처('19),397,180.6,44.52,0.42,0.0,42.84,15.75,0.0,0.0,0.0
1874,D011640,음료 및 차류,아이스 티 레몬 grande,2019,탐앤탐스,식약처('19),454,258.0,63.6,0.6,0.0,61.2,22.5,0.0,0.0,0.0
1875,D011641,음료 및 차류,아이스 티 레몬 venti,2019,탐앤탐스,식약처('19),680,318.2,78.44,0.74,0.0,75.48,27.75,0.0,0.0,0.0
1876,D011642,음료 및 차류,아이스 홍시 tall,2019,탐앤탐스,식약처('19),397,173.0,26.65,0.66,0.15,41.35,3.99,0.0,0.04,0.0
1877,D011643,음료 및 차류,국내산 과일주스 딸기 grande,2019,탐앤탐스,식약처('19),454,276.2,69.94,1.29,0.37,52.12,10.78,0.0,0.06,0.0
1878,D011644,음료 및 차류,유자에이드 tall,2019,탐앤탐스,식약처('19),397,261.4,67.1,0.0,0.0,60.1,52.28,0.0,0.0,0.0
1879,D011645,음료 및 차류,유자에이드 grande,2019,탐앤탐스,식약처('19),454,380.6,97.9,0.0,0.0,86.9,76.12,0.0,0.0,0.0
1880,D011646,음료 및 차류,유자에이드 venti,2019,탐앤탐스,식약처('19),680,495.0,127.5,0.0,0.0,112.5,99.0,0.0,0.0,0.0
1881,D011668,음료 및 차류,아이스블루스노우모카 R,2019,커피마마,식약처('19),410,321.9,0.0,4.9,0.0,41.9,150.8,0.0,9.6,0.0
1882,D011669,음료 및 차류,아이스블루스노우모카 L,2019,커피마마,식약처('19),580,499.7,0.0,8.3,0.0,65.6,253.8,0.0,14.1,0.0
1883,D011670,음료 및 차류,블루스노우모카 R,2019,커피마마,식약처('19),360,416.5,0.0,8.5,0.0,51.5,210.8,0.0,12.6,0.0
1884,D011671,음료 및 차류,블루스노우모카 L,2019,커피마마,식약처('19),475,574.8,0.0,11.0,0.0,73.8,298.8,0.0,16.3,0.0
1885,D011672,음료 및 차류,넘버 원 모카 R,2019,커피마마,식약처('19),378,463.7,0.0,8.1,0.0,63.3,248.5,0.0,12.9,0.0
1886,D011673,음료 및 차류,넘버 원 모카 L,2019,커피마마,식약처('19),478,541.0,0.0,10.3,0.0,69.0,286.8,0.0,16.3,0.0
1887,D011674,음료 및 차류,시나몬 크림 모카 R,2019,커피마마,식약처('19),251,225.7,0.0,7.0,0.0,32.0,173.4,0.0,4.9,0.0
1888,D011675,음료 및 차류,시나몬 크림 모카 L,2019,커피마마,식약처('19),339,295.6,0.0,9.2,0.0,40.7,246.8,0.0,6.5,0.0
1889,D011676,음료 및 차류,화이트 모카 R,2019,커피마마,식약처('19),354,394.8,0.0,7.3,0.0,48.6,267.4,0.0,12.6,0.0
1890,D011677,음료 및 차류,화이트 모카 L,2019,커피마마,식약처('19),464,531.6,0.0,9.1,0.0,67.4,380.3,0.0,16.3,0.0
1891,D011678,음료 및 차류,아이스 아메리카노 R,2019,커피마마,식약처('19),395,5.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0
1892,D011679,음료 및 차류,아이스 아메리카노 L,2019,커피마마,식약처('19),530,10.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0
1893,D011680,음료 및 차류,아메리카노 R,2019,커피마마,식약처('19),280,5.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0
1894,D011681,음료 및 차류,아메리카노 L,2019,커피마마,식약처('19),450,10.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0
1895,D011682,음료 및 차류,카페라떼 R,2019,커피마마,식약처('19),280,161.0,0.0,7.2,0.0,10.8,150.0,0.0,6.0,0.0
1896,D011683,음료 및 차류,카페라떼 L,2019,커피마마,식약처('19),360,205.0,0.0,9.0,0.0,13.5,210.0,0.0,7.5,0.0
1897,D011684,음료 및 차류,아이스 카페라떼R,2019,커피마마,식약처('19),395,122.0,0.0,5.4,0.0,8.1,120.0,0.0,4.5,0.0
1898,D011685,음료 및 차류,아이스 카페라떼L,2019,커피마마,식약처('19),530,185.5,0.0,8.1,0.0,12.2,195.0,0.0,6.8,0.0
1899,D011686,음료 및 차류,민트모카 R,2019,커피마마,식약처('19),369,482.9,0.0,10.3,0.0,50.3,240.9,0.0,18.6,0.0
1900,D011687,음료 및 차류,민트모카 L,2019,커피마마,식약처('19),489,631.6,0.0,15.6,0.0,55.6,357.5,0.0,27.7,0.0
1901,D011688,음료 및 차류,아이스 민트모카 R,2019,커피마마,식약처('19),424,404.9,0.0,6.7,0.0,44.9,180.9,0.0,15.6,0.0
1902,D011689,음료 및 차류,아이스 민트모카 L,2019,커피마마,식약처('19),599,518.4,0.0,9.7,0.0,50.1,260.0,0.0,22.9,0.0
1903,D011690,음료 및 차류,에스프레소 토피넛라떼 R,2019,커피마마,식약처('19),356,445.9,0.0,8.4,0.0,38.5,258.9,0.0,20.6,0.0
1904,D011691,음료 및 차류,에스프레소 토피넛라떼 L,2019,커피마마,식약처('19),462,598.2,0.0,10.8,0.0,49.6,368.6,0.0,28.2,0.0
1905,D011692,음료 및 차류,아이스 에스프레소 토피넛라떼 R,2019,커피마마,식약처('19),411,367.9,0.0,4.8,0.0,33.1,198.9,0.0,17.6,0.0
1906,D011693,음료 및 차류,아이스 에스프레소 토피넛라떼 L,2019,커피마마,식약처('19),487,500.7,0.0,6.3,0.0,42.8,293.6,0.0,24.5,0.0
1907,D011694,음료 및 차류,아이스 화이트모카 R,2019,커피마마,식약처('19),409,347.3,0.0,4.5,0.0,47.4,234.0,0.0,10.3,0.0
1908,D011695,음료 및 차류,아이스 화이트모카 L,2019,커피마마,식약처('19),574,523.6,0.0,7.9,0.0,69.5,375.3,0.0,15.1,0.0
1909,D011696,음료 및 차류,아이스 넘버원모카 R,2019,커피마마,식약처('19),403,366.2,0.0,3.6,0.0,56.5,173.5,0.0,9.2,0.0
1910,D011697,음료 및 차류,아이스 넘버원모카 L,2019,커피마마,식약처('19),678,567.5,0.0,10.3,0.0,75.5,293.6,0.0,16.3,0.0
1911,D011698,음료 및 차류,아이스 카라멜모카 R,2019,커피마마,식약처('19),409,427.6,0.0,7.9,0.0,49.6,0.0,0.0,14.1,0.0
1912,D011699,음료 및 차류,아이스 카라멜모카 L,2019,커피마마,식약처('19),554,319.4,0.0,5.0,0.0,40.6,0.0,0.0,9.6,0.0
1913,D011700,음료 및 차류,아이스 카페모카 R,2019,커피마마,식약처('19),409,319.4,0.0,5.0,0.0,40.6,155.5,0.0,9.6,0.0
1914,D011701,음료 및 차류,아이스 카페모카 L,2019,커피마마,식약처('19),574,480.6,0.0,8.4,0.0,60.1,258.5,0.0,14.1,0.0
1915,D011702,음료 및 차류,아이스 연라떼 R,2019,커피마마,식약처('19),281,158.5,0.0,4.5,0.0,5.6,104.0,0.0,3.8,0.0
1916,D011703,음료 및 차류,아이스 연라떼 L,2019,커피마마,식약처('19),451,267.5,0.0,8.1,0.0,10.1,193.4,0.0,6.8,0.0
1917,D011704,음료 및 차류,아이스 카라멜 마끼아또 R,2019,커피마마,식약처('19),274,136.7,0.0,2.5,0.0,18.8,75.9,0.0,2.0,0.0
1918,D011705,음료 및 차류,아이스 카라멜 마끼아또 L,2019,커피마마,식약처('19),439,229.8,0.0,5.1,0.0,28.8,149.0,0.0,4.1,0.0
1919,D011706,음료 및 차류,아이스 바닐라라떼 R,2019,커피마마,식약처('19),415,154.0,0.0,5.4,0.0,14.2,120.6,0.0,4.5,0.0
1920,D011707,음료 및 차류,아이스 바닐라라떼 L,2019,커피마마,식약처('19),560,331.8,0.0,11.3,0.0,14.0,245.9,0.0,9.5,0.0
1921,D011708,음료 및 차류,아이스 카푸치노 R,2019,커피마마,식약처('19),221,41.5,0.0,1.5,0.0,3.1,55.1,0.0,1.3,0.0
1922,D011709,음료 및 차류,아이스 카푸치노 L,2019,커피마마,식약처('19),361,92.0,0.0,3.6,0.0,6.2,120.1,0.0,3.0,0.0
1923,D011710,음료 및 차류,아이스 카라멜 라떼 R,2019,커피마마,식약처('19),415,187.6,0.0,5.4,0.0,20.5,121.2,0.0,4.5,0.0
1924,D011711,음료 및 차류,아이스 카라멜 라떼 L,2019,커피마마,식약처('19),560,283.9,0.0,8.1,0.0,30.8,196.8,0.0,6.8,0.0
1925,D011712,음료 및 차류,에스프레소,2019,커피마마,식약처('19),30,5.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0
